key,en,es,notes
@AF4D895B,"{@reya} Ha. The ""cargo"" is a car that won't go! Get it??","{@reya}  Ja. ¡La ""carga"" es un carro que ya no carga! ¿Entiendes?",
@743BCFD7,{@you} There's an old safe! I wonder what's inside.,{@you} ¡Hay una caja fuerte vieja! Me pregunto qué habrá dentro.,
@733BCE44,{@reya} A safe?! You gotta grab it!,{@reya} ¡¿Una caja fuerte?! ¡Tienes que agarrarla!,
@763BD2FD,"{@you}  No way, Reya. It's illegal to take anything without a permit.","{@you} De ninguna manera, Reya. Es ilegal tomar cualquier cosa sin permiso.",
@753BD16A,{@reya} Ugh. You are SO BORING. I can't believe we're related.,{@reya} Uff. Eres tan aburrida. No puedo creer que seamos hermanas.,
@12B31512,{@you} I'll have a better view of that from the other side.,{@you} Lo veré mejor desde el otro lado.,
@AF02F0B7,{@you} There's the cargo hatch!,{@you} ¡Ahí está la escotilla de carga!,
@D80F11DE,"Hmm. Looks like part of an old car, but there's not much left.","Hmm. Parece parte de un coche viejo, pero no queda mucho.",
@68F8E508,{@you} I already got a photo of this.,{@you} Ya tengo una foto de esto.,
@BDC17C57,{@you} I should zoom in for a better shot!,{@you}  ¡Debería hacer un acercamiento para una mejor toma!,
@CD153B94,{@you} Better zoom out a little.,{@you} Mejor alejarse un poco.,
@18F75054,{@you} I don't need a photo of this.,{@you} No necesito una foto de esto.,
@A9177421,{@amy} Hey! Heard you went on a dive with your sister.,{@amy} ¡Oye! Escuché que te fuiste a bucear con tu hermana.,
@A6176F68,How’d it go?,¿Cómo fue?,
@A71770FB,{@you} Well... she called me boring and tried to get me in trouble.,{@you} Bueno... me llamó aburrida y trató de meterme en problemas.,
@AC1778DA,But we found an amazing wreck!,¡Pero encontramos un naufragio increíble!,
@AD177A6D,It's a freighter near Port Washington. It was carrying old cars.,Es un carguero cerca de Port Washington. Llevaba coches viejos.,
@AB177747,{@amy} Hmm. Looks like two freighters sank in that area with cars onboard.,{@amy} Hmm. Parece que dos cargueros se hundieron en esa zona con coches a bordo.,
@A01765F6,"One with Kissel cars, and one with Nash cars.",Uno con coches Kissel y otro con coches Nash.,
@A1176789,They used to be made here in Wisconsin!,"¡Solían fabricarse aquí, en Wisconsin!",
@3FEBB530,"{@you}  Hmm. So if I can identify the car I found, I should be able to figure out the ship!","{@you} Hmm. Así que si puedo identificar el coche que encontré, ¡podría identificar el barco!",
@42EBB9E9,{@amy}  I've got a friend at the auto museum. I'll have him call you.,Tengo un amigo en el museo del automóvil. Le diré que te llame.,
@41EBB856,"{@you} Thanks, Amy!","{@you} ¡Gracias, Amy!",
@B6BE3D76,{@cooper} Hi there! Are you Amy’s friend?,{@cooper} Hola. ¿Eres la amiga de Amy?,
@B5BE3BE3,{@you} Yep. I'm Jules Griffin.,{@you} Síp. Soy Jules Griffin.,
@B4BE3A50,Can you send me photos of Nash and Kissel brand cars?,¿Puede enviarme fotos de coches de la marca Nash y Kissel?,
@BBBE4555,{@cooper} Of course! Just a minute...,{@cooper} ¡Claro que sí! Dame un momento...,
@B9BE422F,"{@you} Awesome, thanks!","{@you} ¡Super, gracias!",
@BFBE4BA1,{@cooper}   It's funny. You've got the same last name as the captain who caused that awful shipwreck.,{@cooper} Es curioso. Tienes el mismo apellido del capitán que causó ese horrible naufragio.,
@BEBE4A0E,"{@you} Um, yeah. I know.","{@you} Um, sí. Lo sé.",
@F37A7532,Wait... did you say the captain CAUSED the shipwreck?,Espera... ¿dijo que el capitán CAUSÓ el naufragio?,
@F47A76C5,{@cooper} That's right. It was a local legend when I was a kid.,{@cooper} Así es. Era una leyenda local cuando yo era un niño.,
@F17A720C,The steel company that owned the ship said it was in great condition. The strongest freighter on the lake!,La empresa de acero propietaria del barco dijo que estaba en muy buenas condiciones. ¡El carguero más fuerte del lago!,
@F27A739F,But the captain took it out in a terrible storm.,Pero el capitán lo sacó en una terrible tormenta.,
@EF7A6EE6,If only he'd been more careful.,Si solo hubiera sido más cuidadoso.,
@F07A7079,{@you} Wow. I had no idea.,{@you} Vaya. No tenía ni idea.,
@ED7A6BC0,"Thanks again, Cooper.","Gracias de nuevo, Cooper.",
@EE7A6D53,{@cooper} Happy to help!,{@cooper} ¡Encantado de ayudar!,
@61F4BF2A,{@amy} Any news on the shipwreck?,{@amy} ¿Alguna noticia sobre el naufragio?,
@62F4C0BD,"{@you} Yep, the ship is the Madison!","{@you} ¡Sí, el barco es el Madison!",
@5FF4BC04,"{@amy} Nice work, Jules!","{@amy}¡Buen trabajo, Jules!",
@60F4BD97,I’ll send you the transcript of the radio distress call.,Te enviaré la transcripción de la llamada de auxilio por radio.,
@5EF4BA71,"And the ship manifest, too!",¡Y el manifiesto del barco también!,
@5CF4B74B,"{@you} Thanks, Amy!","{@you} ¡Gracias, Amy!",
@7E36DCC7,"{@reya} Hey, sis! Figure out that ship?","{@reya} ¡Oye, hermana! ¿Descubriste esa nave?",
@7F36DE5A,"{@you} Actually, yes. The ship is the Madison!","{@you} De hecho, sí. ¡El barco es el Madison!",
@8036DFED,{@reya} Cool. I solved a mystery too.,{@reya} Genial. Yo también resolví un misterio.,
@7A36D67B,"{@you} What?! Reya, how did you get that safe?","{@you} ¡¿Qué?! Reya, ¿cómo conseguiste esa caja fuerte?",
@7B36D80E,{@reya} The guy who hired me got a permit to bring it up!,{@reya} ¡El tipo que me contrató consiguió un permiso para subirlo!,
@7C36D9A1,It's just a bunch of nickels and an old alarm clock. I was hoping for gold.,Es sólo un montón de monedas de cinco centavos y un viejo reloj de alarma. Esperaba que fuera de oro.,
@7536CE9C,"But they're gonna display it at a museum, with my name on it!","¡Pero lo van a exponer en un museo, con mi nombre!",
@A75DD8D5,What about the Madison? I wanna know how it sank!,¿Qué pasó con el Madison? ¡Quiero saber cómo se hundió!,
@A65DD742,{@you} Fine. Let's see...,{@you} Bueno púes. Veamos...,
@A55DD5AF,It was a super foggy day—the same day the stock market crashed and started the Great Depression.,"Fue un día de mucha neblina, el mismo día en que la bolsa de valores se desplomó y comenzó la Gran Depresión.",
@A45DD41C,The Madison was carrying 268 Wisconsin-made Nash cars to Detroit.,El Madison transportaba 268 coches Nash a Detroit fabricados en Wisconsin.,
@A35DD289,"All of a sudden, another freighter appeared in the fog.","De repente, apareció otro carguero en la neblina.",
@A25DD0F6,The ships were too close to avoid crashing. The SS Lookout rammed the Madison!,Los barcos estaban demasiado cerca para evitar el choque. ¡El SS Lookout chocó con el Madison!,
@A15DCF63,{@reya} Ha. Biggest car wreck ever!,{@reya} Ja. ¡El mas grande accidente de carro en la historia!,
@A05DCDD0,"{@you} The captain of the Lookout panicked and headed to port, leaving the Madison behind.","{@you} El capitán del Lookout entró en pánico y se dirigió al puerto, dejando atrás al Madison.",
@AF5DE56D,"Luckily, another ship came to help, but a bunch of people didn't survive.","Por suerte, otro barco vino a ayudar, pero un gran grupo de personas no sobrevivió.",
@AE5DE3DA,{@reya} Wow. That's actually a great story.,{@reya} Vaya. Esa es realmente una gran historia.,
@AD6020DE,"Super sad, though.","Sin embargo, es súper triste.",
@AE602271,I wonder if anybody saw it coming...,Me pregunto si alguien lo veía venir...,
@783AA569,"{@dad} Hey, Jules. I've got a shipwreck for you to check out!","{@dad} Oye, Jules. ¡Tengo un naufragio para que lo veas!",Level 3
@763AA243,My fishing buddy pulled this up on Lake Michigan.,Mi compañero de pesca sacó esto en el lago Michigan.,
@7B3AAA22,{@you} Looks like part of a sidewheel steamer!,{@you} ¡Parece parte de un vaporizador de rueda lateral!,
@7C3AABB5,"I'll talk to my mentor, Cami. She's an expert on those ships.","Hablaré con mi mentora, Cami. Ella es una experta en esas naves.",
@793AA6FC,Did you get the latitude and longitude?,¿Conseguiste la latitud y longitud?,
@7A3AA88F,{@dad} Yep. It's near Sheboygan.,{@dad} Sí. Está cerca de Sheboygan.,
@7F3AB06E,"Location: 43°42'08.6""N 87°38'26.0""W","Ubicación: 43°42'08.6 ""N 87°38'26.0 ""W",
@9D524B1B,"{@you} Thanks, Dad.","{@you} Gracias, Papá.",
@9C524988,How's the new sonar?,¿Cómo esta el nuevo sonar?,
@9F524E41,{@dad}  Uh... not so great.,{@dad}  Uh... no es tan bueno.,
@9E524CAE,But I'm sure I'll figure it out. Eventually.,Pero estoy seguro de que lo resolveré. Eventualmente.,
@A1525167,I'm out on Lake Superior right now. Got my map with me.,Estoy en el Lago Superior ahora mismo. Tengo mi mapa conmigo.,
@A352548D,Your grandpa’s last planned route is marked in red.,La última ruta planeada por tu abuelito está marcada en rojo.,
@A25252FA,The Emerald must be around here somewhere.,La Esmeralda debe estar por aquí.,
@94523CF0,{@you} Dad... why didn't you tell me the shipwreck was Grandpa's fault?,{@you} Papá... ¿por qué no me dijiste que el naufragio fue culpa de abuelito?,
@0B4AA980,{@dad} What?! Of course it wasn't his fault.,{@dad} ¿Qué? Por supuesto que no fue su culpa.,
@0C4AAB13,{@you} The steel company said it was.,{@you} La empresa de acero dijo que sí.,
@0D4AACA6,{@dad} They just needed somebody to blame. How can you think that about your own grandpa?!,{@dad} Sólo necesitaban a alguien a quien culpar para lavarse las manos. ¡¿Cómo puedes pensar eso de tu propio abuelito?!,
@0E4AAE39,"{@you} Well, you never talk about him! What was he like?","{@you} ¡Bueno, nunca hablas de él! ¿Cómo era él?",
@0F4AAFCC,"{@dad} Never mind that, Jules.","{@dad} No te preocupes, Jules.",
@104AB15F,We just need to find that ship. Then you'll see.,Sólo tenemos que encontrar esa nave. Entonces verás.,
@BF4CF3BA,{@cami} Hey Jules! You need some info on a sidewheel steamer?,{@cami}  ¡Hola Jules! ¿Necesitas información sobre un vaporizador de rueda lateral?,
@BE4CF227,"{@you}  Yep! Thanks for calling, Cami.","{@you} ¡Sí! Gracias por llamar, Cami.",
@BD4CF094,Who's that guy with you?,¿Quién es ese tipo que está con usted?,
@BC4CEF01,{@cami} Johnny's my new diving student.,{@cami} Johnny es mi nuevo alumno de buceo.,
@BB4CED6E,He's full of awesome stories. You should chat with him sometime!,Él está lleno de historias increíbles. Deberías charlar con él alguna vez.,
@BA4CEBDB,{@you}  Maybe later.,{@you} Quizás más tarde.,
@B94CEA48,Have you heard of any sidewheel steamers that wrecked near Sheboygan?,¿Haz oído hablar de algún vaporizador de rueda lateral que haya naufragado cerca de Sheboygan?,
@B84CE8B5,"{@cami} Ooh, could be the Paradise!","{@cami} ¡Ooh, podría ser el Paraíso!",
@B74CE722,"Here, check it out!","Aquí, ¡mira!",
@B12363D1,"Gorgeous, huh? It sank in 1856.","Precioso, ¿eh? Se hundió en 1856.",
@AE235F18,"People called these type of ships Palace Steamers, because they were so fancy.","La gente llamaba a este tipo de barcos Vaporizadores de palacio, porque eran muy elegantes.",
@AF2360AB,"The manifest was lost, so the cargo is unknown.","El manifiesto se perdió, así que la carga es desconocida.",
@B5236A1D,"{@you} Wow, you know a ton about this ship!","{@you} ¡Vaya, sabes mucho sobre esa nave!",
@B2236564,{@cami} Yep! It's a favorite project of mine.,{@cami} ¡Síp! Es uno de mis proyectos favoritos.,
@B32366F7,Keep a lookout for the red anchor. It should have the name engraved on it.,Busca el ancla roja. Debería tener el nombre grabado en ella.,
@A82355A6,"{@you} Thanks, Cami!","{@you} ¡Gracias, Cami!",
@BA952298,{@you} The ship should be down there somewhere. Time to use my sonar!,{@you} El barco debe estar por aquí abajo. ¡Es hora de usar mi sonar!,
@CFE315A2,{@you} Got it!,{@you} ¡Lo tengo!,
@DC30534B,{@you} Yes! It's the Paradise!,{@you} ¡Sí! ¡Es el Paraíso!,
@DB3051B8,Can't wait to tell Cami.,No puedo esperar a decírselo a Cami.,
@56833F04,{@you} Whoa. Are those... gold bars??,{@you}  Vaya. ¿Son esos... lingotes de oro?,
@57834097,Where on earth did those come from?,¿De dónde salieron esos?,
@292BF03E,{@you} Got the cargo!,{@you} ¡Tengo la carga!,
@2A2BF1D1,Wow... these rocking horses are more than 100 years old!,Vaya... ¡estos caballitos de balancín tienen más de 100 años!,
@778D4046,{@you} What's that written on the anchor?,{@you}  ¿Qué es lo que está escrito en el ancla?,
@48281DFD,{@you} That paddle wheel matches the one in Dad's photo!,{@you} Esa rueda de paletas coincide con la de la foto de Papá.,
@7F97922E,{@you} Whoa. What happened here? The ship is totally destroyed!,{@you}  Vaya. ¿Qué pasó aquí? ¡La nave está totalmente destruida!,
@809793C1,Looks like the engine is missing. The ship owners must've had someone bring it up from the wreck.,Parece que el motor ha desaparecido. Los dueños del barco debieron haber hecho que alguien lo sacara de las ruinas.,
@4D6D7B92,{@you} I should try a different angle for a better shot,{@you}  Debería intentar un ángulo diferente para una mejor toma.,
@5C684088,{@you} I already got a photo of this.,{@you}  Ya tengo una foto de esto.,
@894D93D7,{@you} I should zoom in for a better shot!,{@you} ¡Debería hacer un acercamiento para una mejor toma!,
@BA9E3A14,{@you} Better zoom out to get more in the picture.,{@you} Mejor alejar el zoom para capturar más en la foto.,
@B30FCFD4,{@you} I don't need a photo of this.,{@you} No necesito una foto de esto.,
@74968415,"{@you} Hey Cami, great news. The ship is the Paradise!","{@you} Hola Cami, grandes noticias. ¡El barco es el Paraíso!",
@71967F5C,"{@cami} Wahoo! Nice work, Jules.","¡Guaju! Buen trabajo, Jules.",
@729680EF,I'll send you the survivor accounts of the sinking.,Te enviaré los relatos de los sobrevivientes del hundimiento.,
@6F967C36,{@you} Thanks!,{@you} ¡Gracias!,
@70967DC9,"So, why's this ship so important to you?","Entonces, ¿por qué es tan importante este barco para usted?
",
@6D967910,"{@cami} When I was little, my best friend had ancestors who were lost on the Paradise.","{@cami} Cuando era pequeña, mi mejor amiga tenía antepasados que se perdieron en el Paraíso.",
@6E967AA3,It's the reason I became a maritime archaeologist.,Es la razón por la que me convertí en arqueóloga marítima.,
@7B968F1A,It'll mean a lot to tell her we finally found it.,Significará mucho para ella al decirle que por fin lo hemos encontrado.,
@7C9690AD,"{@you} Wow, that's amazing!","{@you} ¡Vaya, eso es increíble!",
@ADF2063F,Glad I could help.,Me alegra de haber podido ayudar.,
@6D906F73,"{@you} Hey, Dad! Any luck finding Grandpa's ship?","{@you} ¡Oye, papá! ¿Ha habido suerte en la búsqueda del barco del abuelito?",
@6E907106,{@dad} Nah. Sonar’s on the fritz again.,No. El sónar se está escacharrando otra vez.,
@6F907299,"You were right, Jules. I'm not cut out for this.","Tenías razón, Jules. No estoy hecho para esto.",
@7090742C,"{@you} Aw, Dad. Don't give up.","{@you} Ah, Papá. No te rindas.",
@719075BF,"Thanks to you, we found a piece of history that was lost for more than 100 years!","Gracias a ti, encontramos una parte de historia que estuvo perdida por más de 100 años.",
@72907752,{@dad} Ooh. That sidewheel steamer? What'd you find out?,{@dad} Ooh. ¿Ese vaporizador de rueda lateral? ¿Qué descubriste?,
@739078E5,"{@you} The ship is a Palace Steamer, the Paradise!","{@you} La nave es un Vaporizador de palacio, ¡el Paraíso!",
@74907A78,{@you} It was traveling past Sheboygan when a fire started in the boiler room.,{@you} Pasaba por Sheboygan cuando se produjo un incendio en la sala de calderas.,
@75907C0B,{@dad} Yikes. Fire on a wooden ship—that's not good.,"{@dad} ¡Híjole! Un fuego en un barco de madera, eso no estuvo bueno.",
@BD5F2679,"{@you} Nope. The fire spread super fast, and people panicked.",{@you}  No. El fuego se extendió muy rápido y la gente entró en pánico.,
@BC5F24E6,One guy even jumped into a lifeboat with a bunch of heavy gold bars and broke the ropes!,Un tipo incluso saltó a un bote salvavidas con un montón de lingotes de oro y rompió las cuerdas.,
@BB5F2353,"Another ship saw the fire and came to help, but they couldn't save everyone.","Otro barco vio el fuego y vino a ayudar, pero no pudieron salvar a todos.",
@BA5F21C0,"{@dad} Oh boy, what a tragedy.","{@dad} Vaya, qué tragedia.",
@C15F2CC5,{@you} Yeah. It must've been pretty scary...,{@you} Sí. Debio haber sido bastante aterrador...,
@9BE31BF3,{@reya} Hey sis!,"{@reya}¡Ey, hermana!",Level 4
@9CE31D86,I heard you met my friend Johnny. He asked for your number!,Escuché que conociste a mi amigo Johnny. ¡Él pidió por tu número!,
@9DE31F19,"{@you}  Johnny... that's Cami's diving student, right?","{@you} Johnny... es el estudiante de buceo de Cami, ¿cierto?",
@9EE320AC,{@reya} Yep. I think he likes you!,{@reya} Sí. ¡Creo que le gustas!,
@9FE3223F,"Don't worry, I told him you were too busy with paperwork.","No te preocupes, le dije que estabas muy ocupada con el papeleo.",
@A0E323D2,"Ooh, that reminds me... check out this awesome postcard!","Ooh, eso me recuerda... ¡mira este postal increíble!",
@A2E326F8,It was left over from Dad's yard sale. Think it's worth anything?,Fue un sobrante de la venta de patio de Papá. ¿Crees que vale algo?,
@A3E3288B,"{@you}  Hold on. Did you read this, Reya??","{@you}  Espera. ¿Has leído esto, Reya?",
@2984B3F9,Grandpa wrote that O.K. Steel sent him on an extra trip.,El abuelito escribió que O.K. Steel lo mandó a un viaje extra.,
@2884B266,{@reya} Um... so?,{@reya} Um... ¿y qué?,
@2784B0D3,{@you}  There's no official record of this. It doesn't match Dad's map.,{@you} No hay registro oficial de esto. No coincide con el mapa de Papá.,
@2684AF40,{@dad}  Wait a sec. You mean... I've been searching the wrong part of the lake??,{@dad} Espera un segundo. ¿Quieres decir que... ¿Que he estado buscando en la parte equivocada del lago?,
@2C84B8B2,{@reya} Yes!!! I found a clue!!!,{@reya} ¡¡Sí!! ¡¡Encontré una pista!!,
@2B84B71F,{@you}  We have Grandpa's final route. Now we need to narrow down the location.,{@you} Tenemos la ruta final del abuelito. Ahora tenemos que restringir la ubicación.,
@2A84B58C,"{@reya} Well, what are you waiting for, sis? Go do some research!!","{@reya} Bueno, ¿Qué esperas, hermana? ¡¡Ve hacer investigaciones!!",
@B120E6E4,"{@you} Amy, I need your help. I found a new lead on Grandpa’s ship!","{@you} Amy, necesito tu ayuda. ¡Encontré una nueva pista sobre la nave de abuelito!",
@B420EB9D,{@amy} You did??,{@amy} ¿De veras?,
@B320EA0A,{@you} Well... my sister helped. A little.,{@you} Bueno... mi hermana ayudó. Un poco.,
@AD20E098,I marked my grandpa's route in blue.,Marqué la ruta de mi abuelito en azul.,
@B020E551,He mentioned rough waves near the Apostle Islands.,Mencionó las olas agitadas cerca de las Islas Apóstoles.,
@AA20DBDF,Do you have any evidence of shipwrecks in that area?,¿Tienes alguna evidencia de naufragios en esa zona?,
@A920DA4C,"{@amy} Hmm, let’s see...","{@amy} Hmm, veamos...",
@ABCB614F,A fisherman pulled up this broken piece of steel near Outer Island.,Un pescador sacó este trozo de acero cerca de Outer Island.,
@ADCB6475,It could be from a freighter like your grandpa's.,Podría ser de un carguero como el de tu abuelo.,
@A6CB5970,"Location: 47°05'19.4""N 90°17'17.5""W","Ubicación: 47°05'19.4 ""N 90°17'17.5 ""W",
@A7CB5B03,"{@you} Thanks, Amy!","{@you} ¡Gracias, Amy!",
@A8CB5C96,I'll send the steel sample to my mom.,Le enviaré la muestra de acero a mi mamá.,
@A9CB5E29,She's a materials scientist. She can test it in her lab and find out more about it.,Es una científica de materiales. Puede probarlo en su laboratorio y averiguar más sobre él.,
@BB2672B5,{@reya} Well????,{@reya} Entonces????,
@BA267122,{@you} I’ve got a location of a steel shipwreck. It could be Grandpa's.,{@you} Tengo la ubicación de un naufragio de acero. Podría ser del abuelo.,
@B9266F8F,"{@reya} Yes!!! Treasure, here we come!","{@reya} ¡¡Sí!! ¡Tesoro, allá vamos!",
@B8266DFC,"{@you} Reya, slow down.","{@you} Reya, más despacio.",
@B7266C69,What if it's not the Emerald?,¿Y si no es la Esmeralda?,
@B6266AD6,"{@reya} Aww, sis. You worry too much.","{@reya} Aww, hermanita. Te preocupas mucho.",
@B5266943,Get out there and check it out!,¡Salta y compruébalo!,
@B42667B0,Dad and I will be waiting by the phone!,¡Papá y yo estaremos esperando juntos al teléfono!,
@53B9C0AD,{@you} Well... that’s definitely a ship.,{@you} Bueno... eso definitivamente es un barco.,
@50B9BBF4,I wonder if it's Grandpa's.,Me pregunto si es de abuelito.,
@0A4BBE76,{@you} Whoa. Is it me or is that ship... broken in half?,{@you} Vaya. ¿Soy yo o esa nave está... partida por la mitad?,
@4882D7FA,{@you} Got it!,{@you} ¡Lo tengo!,
@0E2BD581,{@you} Wow. I can't believe it. We found the Emerald!,{@you} Vaya. No lo puedo creer. ¡Encontramos la Esmeralda!,
@0D2BD3EE,I can’t wait to tell Dad!,¡Estoy entusiasmada por decirle a Papá!,
@218CE1CC,{@you} That locket looks just like Reya's!,{@you} ¡Ese relicario es igual al de Reya!,
@228CE35F,I wonder if it was Grandpa's.,Me pregunto si era de abuelito.,
@DE80AD91,{@you} I should get a photo of the ship split in half.,{@you}   Debería tomar una foto de la nave partida por mitad.,Not translated 
@56F7CFBC,{@you} There's the crane they used for loading the cargo!,{@you} ¡Ahí está la grúa que usaron para cargar el cargamento!,La carga? For consistency 
@698CE9A8,"{@you} Wow, the pilot house. That would've been where Grandpa worked!","{@you} Vaya, la casa piloto. ¡Allí habría trabajado el abuelito!",
@D3129E31,{@you} Looks like the ship was carrying iron ore.,{@you}  Parece que el barco transportaba mineral de hierro.,
@4C55BF82,{@you} Maybe I can get a better angle. I need to show both sides of the break in the ship.,{@you}  Tal vez pueda conseguir un mejor ángulo. Necesito mostrar ambos lados de la ruptura de la nave.,
@53B63421,{@you} The other side might have a better angle to show both parts of the ship.,{@you} El otro lado podría tener un mejor ángulo para mostrar ambas partes de la nave.,
@8C659F80,{@you} I already got a photo of this.,{@you} Ya tengo una foto de esto.,
@6C72E3CF,{@you} I should zoom in for a better shot!,{@you}  ¡Debería hacer un acercamiento para una mejor toma!,
@445876AC,{@you} Better zoom out a little.,{@you}  Mejor alejarse un poco.,
@3A34FDFC,{@you} I don't need a photo of this.,{@you} No necesito una foto de esto.,
@85127438,"{@amy} Hey, Jules! How’d it go?","{@amy}  ¡Hola, Jules! ¿Cómo te fue?",
@881278F1,{@you} I found the Emerald!,{@you} ¡Encontré la Esmeralda!,
@8712775E,Now I need to figure out how it sank.,Ahora tengo que averiguar cómo se hundió.,
@8A127C17,The legend says the ship was super strong.,La leyenda dice que el barco era súper fuerte.,
@89127A84,I wonder how it broke in half.,Me pregunto cómo se partió por la mitad.,
@8C127F3D,{@amy} I think I can help.,{@amy} Creo que puedo ayudar.,
@8B127DAA,Cami managed to track down a survivor from the Emerald!,¡Cami consiguió localizar a un sobreviviente de la Esmeralda!,
@7E126933,She sent me his contact info.,Me envió su contacto.,
@7D1267A0,Edmund Brooks: 555-1242,Edmund Brooks: 555-1242,
@840CA898,"{@you} Wow, that's so lucky! Thanks, Amy!","{@you} ¡Vaya, qué suerte! ¡Gracias, Amy!",
@F18DDA8E,{@you} Hi. Are you Mr. Brooks?,{@you} Hola. ¿Es usted el Sr. Brooks?,
@F08DD8FB,"{@ed} Call me Ed. This is my grandson, Johnny.","Llámame Ed. Este es mi nieto, Johnny.",
@EF8DD768,"{@you}  Hold on. I saw you last week! You're Cami's diving student, right?","{@you}  Espera. ¡Te vi la semana pasada! Eres el estudiante de buceo de Cami, ¿verdad?",
@F68DE26D,{@johnny} Yep. Gramps here was a sailor on the Emerald.,{@johnny} Sí. El abuelo fue marinero en la Esmeralda.,Mi abuelito?
@F58DE0DA,I've been hearing his amazing stories my whole life.,Llevo toda la vida escuchando sus increíbles historias.,
@F48DDF47,{@you}  How do you know my sister?,{@you} ¿Cómo conoces a mi hermana?,
@F38DDDB4,{@johnny} We took a skydiving class together.,{@johnny} Tomamos una clase de paracaidismo juntos.,
@EA8DCF89,I had no idea she was related to the captain of the Emerald!,¡No tenía idea de que fuera pariente del capitán de la Esmeralda!,
@E98DCDF6,{@you} Yeah. My family never talks about it.,{@you} Sí. Mi familia nunca habla de ello.,
@004F591A,I'm trying to find out what really happened.,Estoy tratando de averiguar lo que realmente sucedió.,
@014F5AAD,{@ed}  I wrote it all down in my journal.,{@ed} Lo escribí todo en mi diario.,
@FF4F5787,"We were sailing smoothly when all of a sudden, there was a loud BANG.","Estábamos navegando sin problemas cuando, de repente, se oyó un fuerte TRAZ.",
@FC4F52CE,The ship had started to break in half!,¡El barco empezó a partirse por la mitad!,
@FD4F5461,"The captain helped launch a lifeboat. Then he tried to radio for help, but the power went out as the ship broke apart.","El capitán ayudó a lanzar un bote salvavidas. Luego trató de pedir ayuda por radio, pero se cortó la corriente al romperse el barco.",
@FB4F513B,{@you} Did you tell anyone what happened?,¿Le contó a alguien lo que pasó?,
@F84F4C82,"{@ed}  I tried, but O.K. Steel put the blame on your grandpa.","{@ed}Lo intenté, pero O.K. Steel le echó la culpa a tu abuelo.",
@F94F4E15,People said I must've remembered it wrong.,La gente decía que debía haber recordarlo mal.,
@7A4C4791,{@you} Did my grandpa ever talk about treasure?,{@you}  ¿Alguna vez habló de tesoros mi abuelito?,
@794C45FE,{@ed} Hmm. Treasure?,{@ed} Hmm. ¿Tesoro?,
@784C446B,"Oh, you must mean his locket! It had photos of his wife and son.","¡Oh, debes referirte a su relicario! Tenía fotos de su esposa e hijo.",
@774C42D8,"{@you} Thank you, Ed. I'm sorry it took so long for someone to listen to you.","{@you} Gracias, Ed. Lo siento que haya tardado tanto tiempo para que alguien te escuche.",
@7E4C4DDD,{@ed}  I always hoped the truth would come out. I'm glad you didn't give up the search.,{@ed} Siempre esperé que la verdad saliera a la luz. Me alegro de que no hayas abandonado la búsqueda.,
@7D4C4C4A,"{@you} Actually, it was my dad who wouldn't give up.","{@you} De hecho, fue mi padre quien no se rindió.",
@7C4C4AB7,"{@ed}  Well, tell him thank you from me.","{@ed} Bueno, dale las gracias de mi parte.",
@61A541E0,{@mom} Hey Sweetie! How'd it go out there?,"{@mom} ¡Hola, cariño! ¿Cómo te fue allá afuera?",
@64A54699,{@you}  I found the Emerald!,{@you} ¡Encontré la Esmeralda!,
@63A54506,"{@mom}  That's wonderful, Jules!","{@mom} ¡Eso es maravilloso, Jules!",
@66A549BF,{@you}  I still need to solve the mystery of why the ship sank.,{@you} Todavía tengo que resolver el misterio de por qué se hundió el barco.,
@65A5482C,{@mom}  Actually... it's not such a mystery.,{@mom} En realidad... ya no es un misterio.,
@68A54CE5,I tested the steel sample you sent me.,Probé la muestra de acero que me enviaste.,
@67A54B52,It was weak and brittle. There's no way that ship could've held up against the waves.,Era débil y frágil. No hay manera de que ese barco pudiera resistir las olas.,
@6AA5500B,{@you}  Wow. So that's why the Emerald broke apart!,{@you}  Vaya. ¡Así que por eso se destruyó la Esmeralda!,
@69A54E78,{@mom}  Yep. It was only a matter of time.,{@mom}  Síp. Era sólo un asunto de tiempo.,
@87269A70,{@you}  I need to tell Dad. He was right all along.,{@you} Tengo que decírselo a Papá. Él tenía razón todo el tiempo.,
@88269C03,"Thanks for your help, Mom!","¡Gracias por tu ayuda, mamá!",
@89269D96,"{@mom}  No problem, Sweetie.","{@mom} Claro que sí, cariño.",
@8A269F29,"I'm heading home soon, but I'll let you tell him.","Me voy a casa pronto, pero dejaré que se lo digas tú.",
@8B26A0BC,Nice work out there.,Buen trabajo ahí fuera.,
@20FADF85,{@reya} Hey sis. I heard you called Johnny!,"{@reya}  Hola, hermana. ¡Oí que llamaste a Johnny!",
@1DFADACC,{@you}  It was about the shipwreck.,{@you} Era sobre el naufragio.,
@1EFADC5F,{@reya} Ha. Sure it was.,{@reya}  Ja. Claro que sí.,
@1BFAD7A6,{@dad}  Well?? What did you find out?,{@dad} ¿Y bien? ¿Qué has averiguado?,
@1CFAD939,"{@you}  We found it, Dad. The shipwreck is the Emerald.","{@you} Lo encontramos, Papá. El naufragio es la Esmeralda.",
@19FAD480,{@reya} YESS!!!!,{@reya}  ¡¡¡¡Sí!!!!,
@1AFAD613,{@dad}  I can't believe it. After all this time.,{@dad} No puedo creerlo. Después de todo este tiempo.,
